Number,TA_1_ID,TA_2_ID,TA 1 - Q1 Grade,TA 1 - Q2 Grade,TA 1 - Q3 Grade,TA 1 - Total Grade,TA 2 - Q1 Grade,TA 2 - Q2 Grade,TA 2 - Q3 Grade,TA 2 - Total Grade,Average Grade
814,TA_36,TA_33,7.5,6.0,8.0,21.5,10.0,4.0,12.0,26.0,23.75
815,TA_36,TA_37,24.0,17.0,21.0,62.0,23.5,17.0,19.0,59.5,60.75
816,TA_36,TA_37,16.0,9.5,10.0,35.5,18.0,10.5,17.0,45.5,40.5
817,TA_36,TA_37,15.0,1.0,2.0,18.0,13.5,1.0,2.0,16.5,17.25
818,TA_36,TA_37,6.5,14.0,7.0,27.5,6.5,14.0,7.5,28.0,27.75
819,TA_36,TA_37,17.0,4.0,15.5,36.5,19.0,4.0,18.0,41.0,38.75
820,TA_36,TA_37,8.0,9.5,6.0,23.5,10.0,9.5,8.0,27.5,25.5
821,TA_36,TA_37,11.5,11.0,2.5,25.0,14.0,9.5,3.0,26.5,25.75
822,TA_36,TA_37,7.0,9.0,6.0,22.0,7.5,10.5,7.0,25.0,23.5
823,TA_36,TA_37,13.5,10.5,7.5,31.5,18.0,11.5,14.0,43.5,37.5
824,TA_36,TA_37,16.0,0.0,16.0,32.0,16.0,1.0,16.0,33.0,32.5
825,TA_36,TA_37,14.5,13.0,9.5,37.0,15.0,14.0,12.5,41.5,39.25
826,TA_36,TA_37,13.0,12.0,12.0,37.0,13.0,12.5,12.0,37.5,37.25
827,TA_36,TA_37,17.0,12.0,4.0,33.0,17.0,12.0,5.0,34.0,33.5
828,TA_36,TA_37,11.0,16.0,10.0,37.0,15.0,17.0,11.5,43.5,40.25
829,TA_36,TA_33,19.0,9.0,18.0,46.0,21.0,9.0,17.0,47.0,46.5
830,TA_36,TA_37,9.5,8.0,2.0,19.5,6.0,10.0,2.0,18.0,18.75
831,TA_36,TA_37,6.5,13.0,6.0,25.5,9.5,14.0,7.0,30.5,28.0
832,TA_36,TA_37,11.0,3.5,3.0,17.5,11.5,6.0,4.0,21.5,19.5
833,TA_36,TA_37,12.0,9.0,2.0,23.0,13.0,11.5,2.0,26.5,24.75
834,TA_36,TA_37,5.5,9.0,6.5,21.0,6.0,9.5,13.0,28.5,24.75
835,TA_36,TA_37,16.0,11.0,6.0,33.0,21.0,12.5,7.0,40.5,36.75
836,TA_36,TA_37,21.5,0.0,0.0,21.5,16.0,0.0,0.0,16.0,18.75
837,TA_36,TA_37,4.5,6.5,5.0,16.0,8.0,5.0,6.0,19.0,17.5
838,TA_36,TA_37,20.5,12.5,17.5,50.5,23.5,12.0,20.0,55.5,53.0
839,TA_36,TA_37,18.0,12.5,9.0,39.5,17.0,14.0,12.5,43.5,41.5
840,TA_36,TA_37,16.0,7.5,9.5,33.0,15.5,9.5,10.0,35.0,34.0
841,TA_38,TA_51,12.5,13.5,11.0,37.0,8.0,11.0,4.75,23.75,30.375
842,TA_38,TA_47,6.0,0.0,3.0,9.0,5.0,0.0,4.0,9.0,9.0
843,TA_38,TA_46,6.5,8.5,6.0,21.0,3.0,7.5,5.0,15.5,18.25
844,TA_38,TA_48,19.5,13.5,13.0,46.0,17.5,11.0,12.0,40.5,43.25
845,TA_38,TA_51,10.5,12.5,3.0,26.0,10.0,13.0,4.5,27.5,26.75
846,TA_38,TA_48,13.5,0.0,4.0,17.5,12.0,0.0,3.0,15.0,16.25
847,TA_38,TA_33,8.0,9.5,9.5,27.0,6.0,9.0,5.0,20.0,23.5
848,TA_38,TA_46,13.5,10.5,7.5,31.5,13.0,11.5,7.0,31.5,31.5
849,TA_38,TA_48,18.0,11.5,2.5,32.0,17.0,9.0,2.0,28.0,30.0
850,TA_38,TA_51,15.0,10.0,6.5,31.5,13.5,10.0,7.0,30.5,31.0
851,TA_38,TA_48,20.0,0.0,18.5,38.5,16.0,0.0,16.0,32.0,35.25
852,TA_38,TA_46,7.5,11.5,8.5,27.5,8.0,12.5,4.0,24.5,26.0
853,TA_38,TA_48,9.0,12.5,5.5,27.0,4.0,11.0,2.0,17.0,22.0
