run_id,source,model,use_solution,use_guidelines,use_reasoning,use_breakdown,strictness,temperature,runs,few_shot,n_graded,n_valid_vs_TA,mean_total_score,std_total_score,MAE_vs_TA_avg,MAE_CI95_lo,MAE_CI95_hi,bias_vs_TA_avg,zero_rate,AI_TA_pearson_r,behaviour,n_failed,Q1_MAE_vs_TA,Q2_MAE_vs_TA,Q3_MAE_vs_TA,Q1_mean,Q2_mean,Q3_mean,Q4_mean
L-C02,local,qwen2.5-coder-32b,1,1,0,1,lenient,0.0,1,0,570,570,23.885964912280702,4.396053454425016,3.951184210526316,3.745052631578947,4.168498903508771,-2.149166666666667,0.0,0.858684946927694,graded,0,1.6586842105263158,1.3796491228070176,1.9334649122807015,8.554385964912282,7.828070175438596,7.503508771929824,0.0
L-D30M,local,qwen3-coder-30b-a3b,1,1,1,1,neutral,0.0,1,0,570,570,23.333333333333332,4.002123045255037,4.491359649122806,4.279014254385966,4.714055921052632,-2.701798245614035,0.0017543859649122807,0.844138075054963,graded,1,1.8073684210526317,1.5725438596491226,2.1278508771929823,8.187719298245614,7.5131578947368425,7.632456140350877,0.0
L-DNxt,local,qwen3-coder-next,1,1,1,1,neutral,0.0,1,0,570,570,21.28684210526316,6.066467126927374,5.178728070175438,4.932536184210527,5.42553399122807,-4.74828947368421,0.0017543859649122807,0.8643028141369494,graded,1,1.8230701754385967,2.9185087719298246,1.5346052631578948,7.51140350877193,5.826315789473684,7.9491228070175435,0.0
L-E01,local,qwen2.5-coder-32b,1,1,0,1,neutral,0.5,5,0,50,50,19.090999999999998,5.186695007617164,7.151,6.2558625,8.0445,-7.019,0.0,0.900549806415076,graded,0,2.722,2.535,2.514,6.442,6.335,6.314,0.0
L-E02,local,qwen3-coder-next,1,1,0,1,neutral,0.5,5,0,48,48,20.788541666666667,6.034944689264539,5.376041666666667,4.644713541666667,6.1611067708333325,-5.195833333333334,0.0,0.913913825825001,graded,0,2.036666666666667,3.3083333333333336,1.4270833333333333,7.266333333333333,5.504166666666667,8.0,0.0
L-F01,local,gemma-3-12b,1,1,0,1,neutral,0.0,1,0,570,570,23.28859649122807,3.236408888053714,5.201184210526316,4.940762061403509,5.475048245614034,-2.746535087719298,0.0,0.7206128108788958,graded,0,2.1692105263157897,2.0128947368421053,2.3032017543859644,8.436842105263159,7.12280701754386,7.728947368421053,0.0
L-F02,local,gemma-3-12b,1,1,0,1,strict,0.0,1,0,570,570,17.604824561403507,3.53268674357325,8.774956140350877,8.415184210526318,9.15019846491228,-8.430307017543859,0.0017543859649122807,0.7587269121363431,collapse,1,2.7018421052631583,3.9480701754385965,2.925219298245614,6.538157894736842,4.822368421052632,6.2442982456140355,0.0
L-F03,local,gemma-3-12b,1,1,0,1,lenient,0.0,1,0,570,570,25.21359649122807,3.030290005434318,4.791798245614035,4.537097587719299,5.061541666666666,-0.8215350877192982,0.0,0.6964466913929312,graded,0,2.145526315789474,1.7150877192982454,2.2169736842105263,8.974561403508773,7.695614035087719,8.54342105263158,0.0
L-F04,local,gemma-3-12b,1,1,0,1,rigorous,0.0,1,0,570,570,22.840350877192982,3.032185848364812,5.4539912280701754,5.186938596491228,5.726733552631578,-3.194780701754386,0.0,0.7306670438283862,graded,0,2.253421052631579,2.124561403508772,2.3474999999999997,8.22280701754386,6.91359649122807,7.703947368421052,0.0
L-F05,local,gemma-3-12b,1,1,0,1,exacting,0.0,1,0,570,570,23.279824561403508,3.373008227597119,5.1046929824561404,4.847189692982456,5.37540899122807,-2.75530701754386,0.0017543859649122807,0.7356377016878174,graded,1,2.1350000000000002,2.000614035087719,2.3145175438596493,8.553508771929824,7.083771929824562,7.642543859649122,0.0
L-G01,local,qwen3-coder-30b-a3b,0,1,0,1,neutral,0.0,1,0,570,570,27.32982456140351,4.434545047222499,3.604517543859649,3.372054824561403,3.861674342105262,1.2946929824561402,0.0035087719298245615,0.8240027718226455,graded,2,1.7059649122807017,1.3437719298245614,1.8263596491228071,9.6,9.343859649122807,8.385964912280702,0.0
L-G02,local,qwen3-coder-30b-a3b,1,0,0,1,neutral,0.0,1,0,570,570,25.859649122807017,3.8381747112302187,3.6285526315789474,3.4230800438596494,3.8462653508771925,-0.17548245614035085,0.0,0.873265257663534,graded,0,1.7186842105263158,1.238333333333333,1.7214473684210527,8.945614035087718,8.333333333333334,8.580701754385965,0.0
